DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,OPINION
2018-01-01,8,7,26,7,7,7,15.6,84,8.625,1004,73.5,8,5,3,176,119,389,météo très défavorable
2018-01-02,7,5,23,5,6,6,3.1,85,9,1014,70.125,7,8,2,116,119,296,météo très défavorable
2018-01-03,13,9,41,11,9,8,15.3,62,8.375,1004,62.25,13,9,4,389,176,116,météo défavorable
2018-01-04,12,8,37,8,12,11,2,95,9.875,1004,69.5,12,10,6,122,296,353,météo défavorable
2018-01-05,9,8,22,9,9,8,4,82,9.75,1000,48.875,9,6,5,176,116,353,météo défavorable
2018-01-06,6,5,8,5,6,6,0.3,92,10,1013,65,6,4,4,116,119,176,météo très défavorable
2018-01-07,5,3,30,3,3,3,0.3,83,9,1024,88.5,5,3,-3,176,122,119,météo très défavorable
2018-01-08,6,1,19,1,4,5,0,87,10,1024,51,6,2,-3,116,116,116,météo très défavorable
2018-01-09,6,2,17,2,4,3,0.1,94,9,1016,63,6,5,-1,116,143,122,météo très défavorable
2018-01-10,8,6,18,6,8,8,11.2,91,9,1009,94.375,8,6,3,302,296,176,météo très défavorable
2018-01-11,8,5,5,5,7,6,0,95,7,1022,41.375,8,5,4,143,143,116,météo très défavorable
2018-01-12,6,3,6,3,5,5,0.3,98,6.25,1026,76,6,4,3,248,248,176,météo très défavorable
2018-01-13,7,2,10,2,5,5,0.1,94,9,1026,27.75,7,3,0,116,116,116,météo très défavorable
2018-01-14,6,1,9,1,4,4,0,91,10,1020,13.125,6,2,-2,116,116,116,météo très défavorable
2018-01-15,7,5,39,4,6,6,9.1,87,8.375,1017,67.625,9,7,0,116,266,302,météo très défavorable
2018-01-16,7,6,28,7,7,5,3.4,69,8,998,69.875,7,4,2,353,176,293,météo très défavorable
2018-01-17,6,3,33,3,6,5,0.1,63,9.625,1011,51.5,6,0,-2,119,116,116,météo très défavorable
2018-01-18,10,8,44,10,9,7,5.1,70,8.75,1009,69.125,10,6,4,296,176,116,météo défavorable
2018-01-19,6,3,17,3,5,5,0.7,82,10,1011,40.375,6,1,0,116,116,176,météo très défavorable
2018-01-20,6,4,18,3,5,5,1.1,90,7,1011,83.75,6,4,0,119,266,266,météo très défavorable
2018-01-21,5,3,13,2,5,4,8.6,86,9.25,1017,85.625,5,3,1,119,119,296,météo très défavorable
2018-01-22,10,8,17,9,9,8,5.6,94,9.5,1019,72.375,10,9,6,176,176,116,météo défavorable
2018-01-23,10,6,24,6,8,9,1,91,7.375,1021,69.625,11,10,2,119,116,266,météo défavorable
2018-01-24,14,13,40,12,14,12,3.2,85,9.5,1020,94.875,14,10,10,176,176,176,météo défavorable
2018-01-25,10,8,18,8,9,8,4.1,85,9.625,1013,63.375,10,7,5,116,122,176,météo défavorable
2018-01-26,9,5,11,5,7,7,0,89,10,1025,30.125,9,5,2,116,116,119,météo très défavorable
